,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
12,妖精帝國,PAX VESANIA,空想メソロギヰ,47IJAEuqiu4r1dEoEExfMA,0.383,0.954,1,-1.77,0,0.0896,0.0,0.331,0.417,114.903,243227,4,0.00215
13,ChouCho,ChouCho ColleCtion “bouquet”,BLESS YoUr NAME,46sQlbD5iBrFVha0PVN8ad,0.497,0.955,6,-3.917,1,0.0564,0.0,0.387,0.539,95.046,280773,4,0.0107
14,藤川千愛,愛はヘッドフォンから,悔しさは種,5CXAfZ24wZwhecMGfIBHhj,0.466,0.956,10,-2.736,1,0.0509,0.0,0.197,0.471,90.973,222067,4,0.0011
15,Eddie van der Meer,Anime Songs #12,Renai Circulation,4NIQLdhKmhVnZWHJDtRirW,0.496,0.503,4,-8.463,1,0.0335,0.932,0.0985,0.713,113.005,134000,4,0.0679
16,Various Artists,熱烈!アニソン魂 ULTIMATEカバーシリーズ2019 JAPAN ANIMESONG COLLECTION mini vol.12,To see the future (ソードアート・オンライン オルタナティブ ガンゲイル・オンライン),5bkh6vQD0U3jCoPZsnQR8P,0.675,0.677,10,-5.275,1,0.0324,1.96e-05,0.285,0.611,136.882,254234,4,0.106
17,Sing Sing Rabbit,Sunshine Duration,Sunshine Duration,31s9OIQ2CsMgLSUmHlY3qv,0.346,0.821,11,-3.187,0,0.0583,0.0,0.45,0.518,174.656,213771,4,0.00323
18,甲田雅人,TVアニメ「ドメスティックな彼女」サウンドコレクション,儚いキスで終わらせて,28mni7DAfWDByf3GK9bu8G,0.275,0.536,9,-4.187,1,0.0304,0.0,0.0981,0.379,76.058,258067,4,0.479
19,Various Artists,JAPAN ANIMESONG COLLECTION VOL.9 [アニソン・ジャパン],INNOCENT SORROW (D.Gray-man),609mOgSEDJrQslEHy7cfyG,0.402,0.85,1,-5.487,1,0.0632,0.0,0.333,0.556,179.991,253826,4,0.000852
20,VGR,Fire Emblem: Three Houses Main Theme,Fire Emblem: Three Houses Main Theme,0RUgaUj53CHbSVC2Q2F5d0,0.517,0.863,3,-3.32,0,0.0555,3.78e-05,0.238,0.458,85.155,153353,4,0.00822
21,Sleave,Don't Expect Anything,Homebound,5MMDD8CEXO7Ll89iozWTVt,0.476,0.953,5,-4.184,1,0.0594,0.167,0.373,0.441,101.467,237433,4,0.000463
22,Haruka Tojo,NEW,NEW,6tq8hMwigDkLOWA8DHXey1,0.465,0.979,6,-3.528,0,0.14,2.48e-05,0.103,0.243,93.608,267467,4,0.00887
23,RichaadEB,Lifelight (Japanese Version),Lifelight - Japanese Version,6fZl3QDfIRKwUMUtj6Jd08,0.513,0.921,3,-2.863,1,0.0795,0.0495,0.378,0.474,131.887,226818,4,0.0133
24,saji,ツバサ,ツバサ,73ZQ8OLY0MrLc5I2X9Pa5n,0.522,0.963,8,-4.51,1,0.0496,4.32e-05,0.312,0.77,144.019,222120,4,0.000335
25,Torby Brand,"Emotional Anime on Piano, Vol. 2","Spice (From ""Food Wars!"")",33D0AMnkRPy016QNVdj93V,0.622,0.116,2,-23.59,1,0.056,0.893,0.0752,0.128,117.961,229377,4,0.988
26,Gero×ARAKI,HHOOWWLL,HHOOWWLL,4RCqYqtn5WTmb2J5SfWp91,0.461,0.809,9,-4.281,0,0.0383,0.0,0.336,0.382,82.951,245947,4,0.0441
27,寺島拓篤,ASSEMBLE,Nameless Story,1XfLeMPPmMoCrXPvj3Pe2Z,0.558,0.947,6,-1.803,1,0.052,0.0,0.288,0.544,97.518,244867,4,0.0478
28,PurpleJam,Burn Blue,Burn Blue (Feat. 2junsupermagnificent),0appU4eBjso77qWnngoEh9,0.394,0.696,4,-4.217,0,0.0593,0.0,0.364,0.454,159.588,238500,4,0.0011
29,GOOD COMING,Good Coming One,Nakama,1BmG9UBLGyz0apoPMqK1CF,0.619,0.717,1,-7.044,1,0.0363,0.0,0.0658,0.514,97.045,279413,4,0.0555
