,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
13,LOZAREENA,Inner Universe,Over Me,6VmHrRGpVcKHOg6pSZMIEW,0.58,0.958,6,-2.217,1,0.124,0,0.646,0.901,151.929,166533,4,0.177
14,Ena Fujita,DEAD STROKE,DEAD STROKE,1w84AR36E68ubNG3pgTgc7,0.538,0.905,9,-3.704,1,0.0426,7.43e-05,0.075,0.759,95.061,197295,4,8.48e-05
15,BIG BROTHER 84,Metronome,Metronome - FERD Remix,5cifTYTUJFnk1a7ouZLgWy,0.413,0.979,8,-5.137,1,0.277,0.0336,0.596,0.277,200.096,180000,4,0.0775
16,Kohmi Hirose,"広瀬香美 THE BEST ""Love Winters""",Groovy!,4I6ijZbxnYAzfFtMYHjb0H,0.801,0.807,9,-4.786,0,0.0744,4e-05,0.0617,0.729,122.974,257267,4,0.175
17,Yutaka Yamada,東京喰種トーキョーグール:re Original Soundtrack,Remembering (feat. Tate McRae),5SV4f2XVyPvDQJFPLnQTVO,0.174,0.288,2,-8.649,1,0.0388,4.01e-06,0.0918,0.289,78.793,276600,4,0.876
18,AmPm,プリズム,プリズム,12ZIRTS8x9RBgasDg3q27J,0.63,0.538,6,-7.059,1,0.0318,0,0.0952,0.238,98.012,238667,4,0.0871
19,Various Artists,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「コードギアス 反逆のルルーシュ」 vol.1 [主題歌OP/ED 編],モザイクカケラ (STAGE13〜23 ED),7xlB6BQAiIuCRHnWHgBmim,0.62,0.782,10,-5.662,0,0.0342,3.22e-06,0.0665,0.754,130.01,277087,4,0.223
20,H.O.F,Don Evil,Don Evil,6ArcfyCGOHt5Nj0LhH0A2n,0.671,0.651,3,-9.406,0,0.295,0,0.108,0.826,78.881,242943,4,0.13
21,NSZX,Next to you (from Parasyte),Next to you - from Parasyte,7cTi6CCZVWGlmnQZMQeC4B,0.43,0.319,4,-14.035,0,0.0436,0.917,0.136,0.32,94.964,213231,4,0.783
22,ClariS,Summer Tracks - Natsu No Uta,Secret Base - Kimiga Kuretamono,7Bh5pZWryHBwxh13y7QTrt,0.479,0.818,6,-4.779,1,0.0395,0.000435,0.215,0.514,144.684,296587,4,0.25
23,Halo at Yojohan,ANATOMIES,ナラク,4rnTSYMnTmfOkLw9s6ojhi,0.354,0.856,1,-4.897,1,0.0344,0.000501,0.335,0.791,179.915,226667,4,0.000675
24,Curse,Top (Tower of God),Top (Tower of God),7hq2MhK4me3Iav3qieV1X5,0.518,0.765,7,-8.228,1,0.0357,0.78,0.323,0.135,98.003,90612,4,3.05e-05
25,Jaze,Pinta Nomá',Pinta Nomá',2Nqx59wp1CAgVguwWATfGO,0.63,0.235,9,-11.599,1,0.0369,0.00244,0.136,0.309,110.321,152471,4,0.74
26,Q-MHz feat. 日高光啓 a.k.a. SKY-HI,風強く、君熱く。,風強く、君熱く。,4cIHfdMtZ12rPvXaJo7qW7,0.335,0.997,8,-1.102,1,0.099,0,0.0336,0.595,193.965,217129,4,0.00436
27,STUNK(CV:JUNJI MAJIMA),OPENING&ENDING THEME FROM TV SERIES ”INTERSPECIES REVIEWERS”,HANABIRA ONDO,5egyrKJojzzslM3yiazvwl,0.427,0.954,2,-2.76,1,0.2,4.02e-06,0.437,0.584,77.437,215388,5,0.0537
28,Happy Heads NANIYORI,Omedetai Atama de Naniyori 2,Sorrow Like Lightning / Ai-shiden-issen,6je3xFNqYLYLUp12JX8b8o,0.52,0.939,6,-4.234,1,0.153,2.78e-05,0.0803,0.713,103.956,191600,4,0.00199
29,Mia REGINA,I got it!,I got it!,1TEwhell7ifaxT6VVw5B4E,0.426,0.958,7,-1.98,1,0.153,0,0.345,0.599,199.954,231200,4,0.0144
